brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Inspiron,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Missing,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,1024 GB,Windows
ASUS,Chromebook,Intel,Celeron Dual,N/A,4 GB GB,LPDDR4,0 GB,512 GB,Windows
ASUS,Chromebook,Intel,Celeron Dual,N/A,4 GB GB,LPDDR4,0 GB,512 GB,Windows
HP,14a,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,512 GB,Windows
HP,Chromebook,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,512 GB,Windows
Lenovo,Celeron,Intel,Celeron Dual,N/A,4 GB GB,DDR4,0 GB,1024 GB,Windows
Lenovo,IdeaPad,Intel,Celeron Dual,N/A,4 GB GB,LPDDR4X,0 GB,512 GB,Windows
Lenovo,IdeaPad,Intel,Celeron Dual,N/A,4 GB GB,LPDDR4,0 GB,512 GB,Windows
Lenovo,IdeaPad,Intel,Celeron Dual,N/A,4 GB GB,LPDDR4,0 GB,512 GB,Windows
acer,Predator,Intel,Core,N/A,4 GB GB,DDR4,0 GB,512 GB,Windows
acer,Aspire,Intel,Core i5,N/A,8 GB GB,DDR5,0 GB,512 GB,Windows
acer,Spin,Intel,Core i5,N/A,8 GB GB,LPDDR4,0 GB,512 GB,Windows
acer,Swift,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS
ASUS,ROG,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS
DELL,Missing,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS
DELL,XPS,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS
HP,15s,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS
HP,Omen,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS
